Rank_x,Player,Team_x,Age_x,Gp_x,W_x,L_x,Min_x,Pts,Fgm_x,Fga_x,Fg%,3Pm,3Pa,3P%,Ftm,Fta,Ft%,Oreb,Dreb,Reb,Ast,Tov,Stl,Blk,Pf,Fp,Dd2,Td3,Plus/Minus,Year_x,Rank_y,Team_y,Age_y,Gp_y,W_y,L_y,Min_y,Usg%,%Fgm,%Fga,%3Pm,%3Pa,%Ftm,%Fta,%Oreb,%Dreb,%Reb,%Ast,%Tov,%Stl,%Blk,%Blka,%Pf,%Pfd,%Pts,Pos_x,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Lbs),Wingspan,Pos_y,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press,Unnamed: 8,Position,Fgm_y,Fga_y,Fgm.1,Fga.1,Fgm.2,Fga.2,Fgm.3,Fga.3,Fgm.4,Fga.4,Team,Startdate,Enddate,Injurylengthdays,Injurynotes,Injurytype,Year_y
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2017-02-27,2017-03-05,6.0,activated from IL,,2017.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Celtics,2017-03-06,2017-03-31,25.0,activated from IL,,2017.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Clippers,2018-02-03,2018-02-22,19.0,activated from IL,,2018.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Lakers,2019-12-11,2021-12-16,736.0,activated from IL,,2019.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Heat,2021-01-27,2021-02-24,28.0,activated from IL,,2021.0
415.0,AVERY BRADLEY,BOS,20.0,31.0,21.0,10.0,5.2,1.7,0.7,2.2,34.3,0.0,0.2,0.0,0.2,0.4,50.0,0.1,0.4,0.5,0.4,0.5,0.3,0.0,0.6,3.3,0.0,0.0,-1.8,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SG-PG,0.04,8.25,9.5,74.0,75.25,98.5,180.4,79.25,SG-PG,11.47,,3.14,31.5,37.5,2.0,,,,,,,,,,,,,Lakers,2021-12-25,2022-02-15,52.0,activated from IL,,2021.0
430.0,COLE ALDRICH,OKC,22.0,18.0,11.0,7.0,7.9,1.0,0.4,0.8,53.3,0.0,0.0,0.0,0.1,0.2,50.0,0.7,1.2,1.9,0.2,0.4,0.3,0.4,1.7,5.2,0.0,0.0,0.4,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.085,9.0,9.25,81.0,83.25,111.5,236.0,88.75,C,11.48,,3.35,23.0,28.0,10.0,,,,,,,,,,,,,Thunder,2010-12-17,2010-12-25,8.0,activated from IL,,2010.0
430.0,COLE ALDRICH,OKC,22.0,18.0,11.0,7.0,7.9,1.0,0.4,0.8,53.3,0.0,0.0,0.0,0.1,0.2,50.0,0.7,1.2,1.9,0.2,0.4,0.3,0.4,1.7,5.2,0.0,0.0,0.4,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.085,9.0,9.25,81.0,83.25,111.5,236.0,88.75,C,11.48,,3.35,23.0,28.0,10.0,,,,,,,,,,,,,Thunder,2011-02-02,2011-02-04,2.0,activated from IL,,2011.0
430.0,COLE ALDRICH,OKC,22.0,18.0,11.0,7.0,7.9,1.0,0.4,0.8,53.3,0.0,0.0,0.0,0.1,0.2,50.0,0.7,1.2,1.9,0.2,0.4,0.3,0.4,1.7,5.2,0.0,0.0,0.4,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.085,9.0,9.25,81.0,83.25,111.5,236.0,88.75,C,11.48,,3.35,23.0,28.0,10.0,,,,,,,,,,,,,Thunder,2011-02-21,2011-03-30,37.0,activated from IL,,2011.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2010-11-10,2010-11-12,2.0,activated from IL,,2010.0
