Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
caleb swanigan,Early (1–3 yrs),Bottom 25%,3,0.08977072310405643,1,3.0,,9.5,10.25,245.6,,,,,,
cam christie,Early (1–3 yrs),Bottom 25%,1,0.10769230769230768,0,,,8.0,8.0,190.4,11.07,2.95,3.07,32.5,35.5,
cam thomas,Mid (4–7 yrs),Top 25%,4,0.40343491870789594,0,,,,,,,,,,,
cam whitmore,Early (1–3 yrs),50–75%,2,0.22300792657488527,0,,,8.0,8.25,235.0,10.82,3.33,3.2,31.5,40.5,
cameron johnson,Mid (4–7 yrs),50–75%,6,0.23894776125266146,3,179.0,0.058,8.0,8.5,205.2,10.52,3.28,3.26,30.5,36.5,
cameron payne,Late (8+ yrs),Top 25%,10,0.2858956591819671,6,129.66666666666666,0.063,8.5,8.25,182.8,10.9,2.93,3.28,29.8,35.5,
caris levert,Late (8+ yrs),50–75%,9,0.26152075429585947,8,150.125,0.0755,8.5,9.25,191.0,,,,,,
carl landry,Mid (4–7 yrs),50–75%,7,0.20188614684213438,2,28.5,0.075,,,248.0,11.35,,3.29,31.5,36.5,21.0
carlos boozer,Mid (4–7 yrs),50–75%,6,0.22090108814947026,2,56.5,,,,258.0,10.77,,3.31,26.5,28.5,13.0
carmelo anthony,Late (8+ yrs),Top 25%,13,0.4113016301262419,8,64.25,0.08,,,233.0,11.4,,3.15,30.5,33.5,7.0
caron butler,Mid (4–7 yrs),50–75%,7,0.22030132255067056,3,79.66666666666667,,,,222.0,12.15,,3.33,27.0,31.0,2.0
carrick felix,Early (1–3 yrs),Top 25%,1,0.38571428571428573,1,1.0,0.033,8.5,9.5,202.6,11.16,3.09,3.25,32.0,38.5,15.0
carsen edwards,Early (1–3 yrs),Top 25%,3,0.556073815751235,0,,0.055,8.75,9.0,199.4,10.53,2.82,3.22,28.5,34.0,14.0
cason wallace,Early (1–3 yrs),Bottom 25%,2,0.1032281205164993,0,,,8.5,9.25,195.2,10.82,,3.34,28.0,36.0,
chandler parsons,Late (8+ yrs),50–75%,9,0.25592574233035076,6,37.5,0.07,8.25,10.0,221.2,11.05,,3.29,25.5,31.5,4.0
channing frye,Late (8+ yrs),Bottom 25%,9,0.12271375662472733,1,593.0,,,,243.6,11.6,,3.38,27.5,31.0,19.0
charles jenkins,Early (1–3 yrs),Bottom 25%,2,0.07296444001329346,0,,0.043,8.5,9.0,216.4,11.68,,3.18,29.5,34.0,16.0
charlie villanueva,Mid (4–7 yrs),50–75%,7,0.1923320802511998,4,279.75,,,,236.6,10.86,,3.3,26.0,31.0,11.0
chase budinger,Mid (4–7 yrs),25–50%,7,0.1638789390065008,2,135.0,0.1,,,206.4,11.08,,3.24,29.5,38.5,10.0
cheick diallo,Mid (4–7 yrs),Top 25%,5,0.36426282051282055,1,7.0,0.056,8.5,9.75,218.6,11.24,3.3,3.26,31.0,35.0,
chet holmgren,Early (1–3 yrs),Top 25%,2,0.33498475609756095,0,,,,,,,,,,,
chimezie metu,Mid (4–7 yrs),25–50%,6,0.12747891354382226,2,27.5,0.0505,9.0,9.25,219.6,11.89,3.25,3.33,29.5,36.0,5.0
chinanu onuaku,Early (1–3 yrs),Top 25%,2,2.28,2,6.0,0.0855,9.0,8.0,245.2,11.65,3.0,3.5,27.5,33.5,
chris bosh,Mid (4–7 yrs),Top 25%,7,0.3101163125568688,5,162.8,0.08,,,225.0,11.8,,3.3,30.5,33.0,9.0
chris duhon,Mid (4–7 yrs),Bottom 25%,4,0.07070707690387425,0,,0.067,,,193.0,10.45,,3.14,31.5,35.0,7.0
chris kaman,Mid (4–7 yrs),50–75%,6,0.241936374810115,4,112.5,0.163,,,252.0,11.33,,3.37,23.5,30.5,15.0
chris mccullough,Early (1–3 yrs),25–50%,3,0.15529970760233916,2,141.5,0.062,8.75,8.75,199.0,,,,,,
chris paul,Late (8+ yrs),50–75%,16,0.2556259115510742,8,334.125,,,,178.0,11.09,,3.22,32.0,38.0,10.0
chris richard,Early (1–3 yrs),Bottom 25%,1,0.11666666666666667,0,,0.075,,,252.0,11.39,,3.29,26.5,30.5,15.0
chris singleton,Early (1–3 yrs),Bottom 25%,3,0.08720893141945774,1,134.0,0.074,9.25,10.0,230.2,11.33,,3.09,30.5,37.5,15.0
chris wilcox,Mid (4–7 yrs),25–50%,4,0.13097177611337893,2,13.0,,,,218.0,11.43,,3.16,31.0,34.5,20.0
christian braun,Early (1–3 yrs),Bottom 25%,3,0.11526773478927328,0,,0.062,8.0,8.5,209.2,11.0,3.13,3.16,33.5,40.0,
christian koloko,Early (1–3 yrs),Bottom 25%,2,0.059156570363466915,0,,0.057,9.0,10.75,221.0,11.3,3.19,3.27,28.0,33.5,
chuma okeke,Mid (4–7 yrs),50–75%,5,0.23495125520657437,2,82.5,,,,,,,,,,
cj elleby,Early (1–3 yrs),Bottom 25%,2,0.08833333333333332,1,339.0,0.042,8.75,10.0,198.6,11.25,2.63,3.25,30.5,36.5,
