Player,Team,Year,Round Number,Round Pick
Malick Badiane,Houston Rockets,2003,2,15
Matt Bonner,Chicago Bulls,2003,2,16
Sani Becirovic,Denver Nuggets,2003,2,17
Mo Williams,Utah Jazz,2003,2,18
James Lang,New Orleans Hornets,2003,2,19
James Jones,Indiana Pacers,2003,2,20
Paccelis Morlende,Philadelphia 76ers,2003,2,21
Yao Ming,Houston Rockets,2002,1,1
Jay Williams,Chicago Bulls,2002,1,2
Mike Dunleavy,Golden State Warriors,2002,1,3
Drew Gooden,Memphis Grizzlies,2002,1,4
Nikoloz Tskitishvili,Denver Nuggets,2002,1,5
Dajuan Wagner,Cleveland Cavaliers,2002,1,6
Nene,New York Knicks,2002,1,7
Chris Wilcox,Los Angeles Clippers,2002,1,8
Amar'e Stoudemire,Phoenix Suns,2002,1,9
Caron Butler,Miami Heat,2002,1,10
Jared Jeffries,Washington Wizards,2002,1,11
Melvin Ely,Los Angeles Clippers,2002,1,12
Marcus Haislip,Milwaukee Bucks,2002,1,13
Fred Jones,Indiana Pacers,2002,1,14
Bostjan Nachbar,Houston Rockets,2002,1,15
Jiri Welsch,Philadelphia 76ers,2002,1,16
Juan Dixon,Washington Wizards,2002,1,17
Curtis Borchardt,Orlando Magic,2002,1,18
Ryan Humphrey,Utah Jazz,2002,1,19
Kareem Rush,Toronto Raptors,2002,1,20
Qyntel Woods,Portland Trail Blazers,2002,1,21
Casey Jacobsen,Phoenix Suns,2002,1,22
Tayshaun Prince,Detroit Pistons,2002,1,23
Nenad Krstic,New Jersey Nets,2002,1,24
Frank Williams,Denver Nuggets,2002,1,25
John Salmons,San Antonio Spurs,2002,1,26
Chris Jefferies,Los Angeles Lakers,2002,1,27
Dan Dickau,Sacramento Kings,2002,1,28
Steve Logan,Golden State Warriors,2002,2,1
Roger Mason Jr.,Chicago Bulls,2002,2,2
Robert Archibald,Memphis Grizzlies,2002,2,3
Vincent Yarbrough,Denver Nuggets,2002,2,4
Dan Gadzuric,Milwaukee Bucks,2002,2,5
Carlos Boozer,Cleveland Cavaliers,2002,2,6
Milos Vujanic,New York Knicks,2002,2,7
David Andersen,Atlanta Hawks,2002,2,8
Tito Maddox,Houston Rockets,2002,2,9
Rod Grizzard,Washington Wizards,2002,2,10
Juan Carlos Navarro,Washington Wizards,2002,2,11
Mario Kasun,Los Angeles Clippers,2002,2,12
Flip Murray,Milwaukee Bucks,2002,2,13
Jason Jennings,Portland Trail Blazers,2002,2,14
Lonny Baxter,Chicago Bulls,2002,2,15
Sam Clancy,Philadelphia 76ers,2002,2,16
Matt Barnes,Memphis Grizzlies,2002,2,17
Jamal Sampson,Utah Jazz,2002,2,18
Chris Owens,Milwaukee Bucks,2002,2,19
Peter Fehse,Seattle SuperSonics,2002,2,20
Darius Songaila,Boston Celtics,2002,2,21
Federico Kammerichs,Portland Trail Blazers,2002,2,22
Kwame Brown,Washington Wizards,2001,1,1
Tyson Chandler,Los Angeles Clippers,2001,1,2
Pau Gasol,Atlanta Hawks,2001,1,3
Eddy Curry,Chicago Bulls,2001,1,4
Jason Richardson,Golden State Warriors,2001,1,5
Shane Battier,Memphis Grizzlies,2001,1,6
Eddie Griffin,New Jersey Nets,2001,1,7
DeSagana Diop,Cleveland Cavaliers,2001,1,8
Rodney White,Detroit Pistons,2001,1,9
Joe Johnson,Boston Celtics,2001,1,10
Kedrick Brown,Boston Celtics,2001,1,11
Vladimir Radmanovic,Seattle SuperSonics,2001,1,12
Richard Jefferson,Houston Rockets,2001,1,13
Troy Murphy,Golden State Warriors,2001,1,14
Steven Hunter,Orlando Magic,2001,1,15
Kirk Haston,Charlotte Hornets,2001,1,16
Michael Bradley,Toronto Raptors,2001,1,17
Jason Collins,Houston Rockets,2001,1,18
Zach Randolph,Portland Trail Blazers,2001,1,19
Brendan Haywood,Cleveland Cavaliers,2001,1,20
Joseph Forte,Boston Celtics,2001,1,21
Jeryl Sasser,Orlando Magic,2001,1,22
Brandon Armstrong,Houston Rockets,2001,1,23
Raul Lopez,Utah Jazz,2001,1,24
Gerald Wallace,Sacramento Kings,2001,1,25
Samuel Dalembert,Philadelphia 76ers,2001,1,26
Jamaal Tinsley,Memphis Grizzlies,2001,1,27
Tony Parker,San Antonio Spurs,2001,1,28
Trenton Hassell,Chicago Bulls,2001,2,1
Gilbert Arenas,Golden State Warriors,2001,2,2
Omar Cook,Orlando Magic,2001,2,3
Will Solomon,Memphis Grizzlies,2001,2,4
Terence Morris,Atlanta Hawks,2001,2,5
Brian Scalabrine,New Jersey Nets,2001,2,6
Jeff Trepagnier,Cleveland Cavaliers,2001,2,7
Damone Brown,Philadelphia 76ers,2001,2,8
Mehmet Okur,Detroit Pistons,2001,2,9
Michael Wright,New York Knicks,2001,2,10
Earl Watson,Seattle SuperSonics,2001,2,11
Jamison Brewer,Indiana Pacers,2001,2,12
Bobby Simmons,Seattle SuperSonics,2001,2,13
Eric Chenowith,New York Knicks,2001,2,14
Kyle Hill,Dallas Mavericks,2001,2,15
Sean Lampley,Chicago Bulls,2001,2,16
Loren Woods,Minnesota Timberwolves,2001,2,17
Ousmane Cisse,Denver Nuggets,2001,2,18
Antonis Fotsis,Memphis Grizzlies,2001,2,19
Ken Johnson,Miami Heat,2001,2,20
Ruben Boumtje-Boumtje,Portland Trail Blazers,2001,2,21
Alton Ford,Phoenix Suns,2001,2,22
Kenyon Martin,New Jersey Nets,2000,1,1
Stromile Swift,Vancouver Grizzlies,2000,1,2
Darius Miles,Los Angeles Clippers,2000,1,3
Marcus Fizer,Chicago Bulls,2000,1,4
Mike Miller,Orlando Magic,2000,1,5
DerMarr Johnson,Atlanta Hawks,2000,1,6
Chris Mihm,Chicago Bulls,2000,1,7
Jamal Crawford,Cleveland Cavaliers,2000,1,8
Joel Przybilla,Houston Rockets,2000,1,9
Keyon Dooling,Orlando Magic,2000,1,10
Jerome Moiso,Boston Celtics,2000,1,11
Etan Thomas,Dallas Mavericks,2000,1,12
Courtney Alexander,Orlando Magic,2000,1,13
Mateen Cleaves,Detroit Pistons,2000,1,14
Jason Collier,Milwaukee Bucks,2000,1,15
Hedo Turkoglu,Sacramento Kings,2000,1,16
Desmond Mason,Seattle SuperSonics,2000,1,17
Quentin Richardson,Los Angeles Clippers,2000,1,18
Jamaal Magloire,Charlotte Hornets,2000,1,19
Speedy Claxton,Philadelphia 76ers,2000,1,20
Morris Peterson,Toronto Raptors,2000,1,21
Donnell Harvey,New York Knicks,2000,1,22
DeShawn Stevenson,Utah Jazz,2000,1,23
Dalibor Bagaric,Chicago Bulls,2000,1,24
Jake Tsakalidis,Phoenix Suns,2000,1,25
Mamadou N'diaye,Denver Nuggets,2000,1,26
Primoz Brezec,Indiana Pacers,2000,1,27
Erick Barkley,Portland Trail Blazers,2000,1,28
Mark Madsen,Los Angeles Lakers,2000,1,29
Marko Jaric,Los Angeles Clippers,2000,2,1
Dan Langhi,Dallas Mavericks,2000,2,2
A.J. Guyton,Chicago Bulls,2000,2,3
Jake Voskuhl,Chicago Bulls,2000,2,4
Khalid El-Amin,Chicago Bulls,2000,2,5
Mike Smith,Washington Wizards,2000,2,6
Soumaila Samake,New Jersey Nets,2000,2,7
Eddie House,Miami Heat,2000,2,8
Eduardo Najera,Houston Rockets,2000,2,9
Lavor Postell,New York Knicks,2000,2,10
Hanno Mottola,Atlanta Hawks,2000,2,11
Chris Carrawell,San Antonio Spurs,2000,2,12
Olumide Oyedeji,Seattle SuperSonics,2000,2,13
Michael Redd,Milwaukee Bucks,2000,2,14
Brian Cardinal,Detroit Pistons,2000,2,15
Jabari Smith,Sacramento Kings,2000,2,16
DeeAndre Hulett,Toronto Raptors,2000,2,17
Josip Sesar,Seattle SuperSonics,2000,2,18
Mark Karcher,Philadelphia 76ers,2000,2,19
Jason Hart,Milwaukee Bucks,2000,2,20
Kaniel Dickens,Utah Jazz,2000,2,21
