Player,Team,Year,Round Number,Round Pick
Usman Garuba,Houston Rockets,2021,1,23
Josh Christopher,Houston Rockets,2021,1,24
Quentin Grimes,LA Clippers,2021,1,25
Bones Hyland,Denver Nuggets,2021,1,26
Cam Thomas,Brooklyn Nets,2021,1,27
Jaden Springer,Philadelphia 76ers,2021,1,28
Day'Ron Sharpe,Phoenix Suns,2021,1,29
Santi Aldama,Utah Jazz,2021,1,30
Isaiah Todd,Milwaukee Bucks,2021,2,1
Jeremiah Robinson-Earl,New York Knicks,2021,2,2
Jason Preston,Orlando Magic,2021,2,3
Rokas Jokubaitis,Oklahoma City Thunder,2021,2,4
Herbert Jones,New Orleans Pelicans,2021,2,5
Miles McBride,Oklahoma City Thunder,2021,2,6
JT Thor,Detroit Pistons,2021,2,7
Ayo Dosunmu,Chicago Bulls,2021,2,8
Neemias Queta,Sacramento Kings,2021,2,9
Jared Butler,Sacramento Kings,2021,2,10
Joe Wieskamp,San Antonio Spurs,2021,2,11
Isaiah Livers,Detroit Pistons,2021,2,12
Greg Brown III,New Orleans Pelicans,2021,2,13
Kessler Edwards,Brooklyn Nets,2021,2,14
Juhann Begarin,Boston Celtics,2021,2,15
Dalano Banton,Toronto Raptors,2021,2,16
David Johnson,Toronto Raptors,2021,2,17
Sharife Cooper,Atlanta Hawks,2021,2,18
Marcus Zegarowski,Brooklyn Nets,2021,2,19
Filip Petrusev,Philadelphia 76ers,2021,2,20
Anthony Edwards,Minnesota Timberwolves,2020,1,1
James Wiseman,Golden State Warriors,2020,1,2
LaMelo Ball,Charlotte Hornets,2020,1,3
Patrick Williams,Chicago Bulls,2020,1,4
Isaac Okoro,Cleveland Cavaliers,2020,1,5
Onyeka Okongwu,Atlanta Hawks,2020,1,6
Killian Hayes,Detroit Pistons,2020,1,7
Obi Toppin,New York Knicks,2020,1,8
Deni Avdija,Washington Wizards,2020,1,9
Jalen Smith,Phoenix Suns,2020,1,10
Devin Vassell,San Antonio Spurs,2020,1,11
Tyrese Haliburton,Sacramento Kings,2020,1,12
Kira Lewis Jr.,New Orleans Pelicans,2020,1,13
Aaron Nesmith,Boston Celtics,2020,1,14
Cole Anthony,Orlando Magic,2020,1,15
Isaiah Stewart,Portland Trail Blazers,2020,1,16
Aleksej Pokusevski,Minnesota Timberwolves,2020,1,17
Josh Green,Dallas Mavericks,2020,1,18
Saddiq Bey,Brooklyn Nets,2020,1,19
Precious Achiuwa,Miami Heat,2020,1,20
Tyrese Maxey,Philadelphia 76ers,2020,1,21
Zeke Nnaji,Denver Nuggets,2020,1,22
Leandro Bolmaro,New York Knicks,2020,1,23
R.J. Hampton,Milwaukee Bucks,2020,1,24
Immanuel Quickley,Oklahoma City Thunder,2020,1,25
Payton Pritchard,Boston Celtics,2020,1,26
Udoka Azubuike,Utah Jazz,2020,1,27
Jaden McDaniels,Los Angeles Lakers,2020,1,28
Malachi Flynn,Toronto Raptors,2020,1,29
Desmond Bane,Boston Celtics,2020,1,30
Tyrell Terry,Dallas Mavericks,2020,2,1
Vernon Carey Jr.,Charlotte Hornets,2020,2,2
Daniel Oturu,Minnesota Timberwolves,2020,2,3
Theo Maledon,Philadelphia 76ers,2020,2,4
Xavier Tillman,Sacramento Kings,2020,2,5
Tyler Bey,Philadelphia 76ers,2020,2,6
Vít Krejčí,Washington Wizards,2020,2,7
Saben Lee,Utah Jazz,2020,2,8
Elijah Hughes,New Orleans Pelicans,2020,2,9
Robert Woodard II,Memphis Grizzlies,2020,2,10
Tre Jones,San Antonio Spurs,2020,2,11
Nick Richards,New Orleans Pelicans,2020,2,12
Jahmi'us Ramsey,Sacramento Kings,2020,2,13
Marko Simonovic,Chicago Bulls,2020,2,14
Jordan Nwora,Milwaukee Bucks,2020,2,15
CJ Elleby,Portland Trail Blazers,2020,2,16
Yam Madar,Boston Celtics,2020,2,17
Nico Mannion,Golden State Warriors,2020,2,18
Isaiah Joe,Philadelphia 76ers,2020,2,19
Skylar Mays,Atlanta Hawks,2020,2,20
Zion Williamson,New Orleans Pelicans,2019,1,1
Ja Morant,Memphis Grizzlies,2019,1,2
RJ Barrett,New York Knicks,2019,1,3
De'Andre Hunter,Los Angeles Lakers,2019,1,4
Darius Garland,Cleveland Cavaliers,2019,1,5
Jarrett Culver,Phoenix Suns,2019,1,6
Coby White,Chicago Bulls,2019,1,7
Jaxson Hayes,Atlanta Hawks,2019,1,8
Rui Hachimura,Washington Wizards,2019,1,9
Cam Reddish,Atlanta Hawks,2019,1,10
Cameron Johnson,Minnesota Timberwolves,2019,1,11
P.J. Washington,Charlotte Hornets,2019,1,12
Tyler Herro,Miami Heat,2019,1,13
Romeo Langford,Boston Celtics,2019,1,14
Sekou Doumbouya,Detroit Pistons,2019,1,15
Chuma Okeke,Orlando Magic,2019,1,16
Nickeil Alexander-Walker,Brooklyn Nets,2019,1,17
Goga Bitadze,Indiana Pacers,2019,1,18
Luka Samanic,San Antonio Spurs,2019,1,19
Matisse Thybulle,Boston Celtics,2019,1,20
Brandon Clarke,Oklahoma City Thunder,2019,1,21
Grant Williams,Boston Celtics,2019,1,22
Darius Bazley,Utah Jazz,2019,1,23
Ty Jerome,Philadelphia 76ers,2019,1,24
Nassir Little,Portland Trail Blazers,2019,1,25
Dylan Windler,Cleveland Cavaliers,2019,1,26
Mfiondu Kabengele,Brooklyn Nets,2019,1,27
Jordan Poole,Golden State Warriors,2019,1,28
Keldon Johnson,San Antonio Spurs,2019,1,29
Kevin Porter Jr.,Milwaukee Bucks,2019,1,30
Nic Claxton,Brooklyn Nets,2019,2,1
KZ Okpala,Phoenix Suns,2019,2,2
Carsen Edwards,Philadelphia 76ers,2019,2,3
Bruno Fernando,Philadelphia 76ers,2019,2,4
Didi Louzada,Atlanta Hawks,2019,2,5
Cody Martin,Charlotte Hornets,2019,2,6
Deividas Sirvydis,Dallas Mavericks,2019,2,7
Daniel Gafford,Chicago Bulls,2019,2,8
Alen Smailagic,New Orleans Pelicans,2019,2,9
Justin James,Sacramento Kings,2019,2,10
Eric Paschall,Golden State Warriors,2019,2,11
