14367,11/22/09,Hornets, Sean Marks,,activated from IL
14368,11/22/09,Knicks,, Jared Jeffries,placed on IL
14369,11/22/09,Knicks, Marcus Landry,,activated from IL
14370,11/22/09,Pacers,, Josh McRoberts,placed on IL
14371,11/22/09,Pacers, Jeff Foster,,activated from IL
14372,11/22/09,Raptors,, Marco Belinelli,placed on IL with left groin injury
14373,11/22/09,Raptors, Marcus Banks,,activated from IL
14374,11/22/09,Thunder,, Shaun Livingston,placed on IL recovering from surgery on left knee to remove staples from an earlier surgery
14375,11/22/09,Thunder, Ryan Bowen,,activated from IL
14376,11/23/09,Bucks,, Luc Richard Mbah a Moute / Luc Mbah a Moute,placed on IL with sprained left foot
14377,11/23/09,Bucks, Michael Redd,,activated from IL
14378,11/24/09,Knicks,, Marcus Landry,placed on IL
14379,11/24/09,Knicks, Jared Jeffries,,activated from IL
14380,11/24/09,Raptors,, Marcus Banks,placed on IL
14381,11/24/09,Raptors,, Patrick O'Bryant,placed on IL
14382,11/24/09,Raptors, Antoine Wright,,activated from IL
14383,11/24/09,Raptors, Marco Belinelli,,activated from IL
14384,11/24/09,Thunder,, Nick Collison,placed on IL with sore right knee
14385,11/24/09,Thunder, Kyle Weaver,,activated from IL
14386,11/24/09,Wizards,, Mike Miller,placed on IL with strained left calf (P) / right calf (CBC)
14387,11/24/09,Wizards, Nick Young,,activated from IL
14388,11/25/09,Bobcats,, DeSagana Diop,placed on IL
14389,11/25/09,Bobcats, Acie Law,,activated from IL
14390,11/25/09,Bobcats, Tyson Chandler,,activated from IL
14391,11/25/09,Clippers,, DeAndre Jordan,placed on IL with right ankle injury
14392,11/25/09,Clippers, Eric Gordon,,activated from IL
14393,11/25/09,Heat,, Shavlik Randolph,placed on IL
14394,11/25/09,Heat, Jamaal Magloire,,activated from IL
14395,11/25/09,Knicks,, Eddy Curry,placed on IL
14396,11/25/09,Knicks, Marcus Landry,,activated from IL
14397,11/25/09,Pacers,, Danny Granger,placed on IL with sprained MCL in left knee
14398,11/25/09,Pacers, Josh McRoberts,,activated from IL
14399,11/25/09,Spurs,, Theo Ratliff,placed on IL
14400,11/25/09,Spurs, Marcus Haislip,,activated from IL
14401,11/26/09,Bulls,, Kirk Hinrich,placed on IL with sprained left thumb
14402,11/26/09,Bulls, Aaron Gray,,activated from IL
14403,11/27/09,Bobcats,, Acie Law,placed on IL
14404,11/27/09,Bobcats, DeSagana Diop,,activated from IL
14405,11/27/09,Cavaliers, Shaquille O'Neal,,activated from IL
14406,11/27/09,Magic,, Jason Williams,placed on IL
14407,11/27/09,Pacers,, A.J. Price,placed on IL
14408,11/27/09,Pacers,, Josh McRoberts,placed on IL
14409,11/27/09,Pacers, Danny Granger,,activated from IL
14410,11/27/09,Pacers, Mike Dunleavy Jr.,,activated from IL
14411,11/27/09,Spurs,, Marcus Haislip,placed on IL
14412,11/27/09,Spurs, Theo Ratliff,,activated from IL
14413,11/27/09,Suns,, Alando Tucker,placed on IL
14414,11/27/09,Suns, Robin Lopez,,activated from IL
14415,11/27/09,Thunder,, Kyle Weaver,placed on IL with separated left shoulder
14416,11/27/09,Thunder, Shaun Livingston,,activated from IL
14417,11/28/09,Cavaliers,, Danny Green,placed on IL
14418,11/28/09,Cavaliers, Jawad Williams,,activated from IL (P)
14419,11/29/09,Clippers,, Brian Skinner,placed on IL
14420,11/29/09,Clippers, DeAndre Jordan,,activated from IL
14421,11/29/09,Heat,, Yakhouba Diawara,placed on IL
14422,11/29/09,Heat, Quentin Richardson,,activated from IL
14423,11/29/09,Hornets, Hilton Armstrong,,activated from IL
14424,11/29/09,Nuggets,, Renaldo Balkman,placed on IL
14425,11/29/09,Nuggets, Johan Petro,,activated from IL
14426,11/29/09,Spurs,, Roger Mason Jr.,placed on IL
14427,11/29/09,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
14428,11/30/09,Bucks,, Michael Redd,placed on IL with strained patella tendon in left knee
14429,11/30/09,Bucks, Andrew Bogut,,activated from IL
14430,11/30/09,Mavericks,, Quinton Ross,placed on IL with sore lower back
14431,11/30/09,Mavericks, Erick Dampier,,activated from IL
14432,12/1/09,Suns,, Leandro Barbosa,placed on IL with sprained left ankle
14433,12/1/09,Suns, Alando Tucker,,activated from IL
14434,12/2/09,Cavaliers,, Jawad Williams,placed on IL
14435,12/2/09,Cavaliers, Danny Green,,activated from IL
14436,12/2/09,Clippers,, Eric Gordon,placed on IL with strained groin / hamstring injury
14437,12/2/09,Clippers, Brian Skinner,,activated from IL
14438,12/2/09,Thunder,, Kevin Ollie,placed on IL recovering from surgery on right knee to repair pain in patellar tendon
14439,12/2/09,Thunder, Nick Collison,,activated from IL
14440,12/3/09,Spurs,, Malik Hairston,placed on IL
14441,12/3/09,Spurs, Roger Mason Jr.,,activated from IL
14442,12/3/09,Warriors,, Raja Bell,placed on IL recovering from surgery on left wrist
14443,12/3/09,Warriors, Devean George,,activated from IL
14444,12/4/09,Bucks,, Francisco Elson,placed on IL
14445,12/4/09,Bucks, Luc Richard Mbah a Moute / Luc Mbah a Moute,,activated from IL
